Movie Name,Rank,Year,Rating,Release Date, Commercial description,Number of Reviews
Wakefield (2016),43,2017,6.3,"19 May 2017 (USA)
","Bryan Cranston gives the performance of a lifetime as Howard Wakefield, a lawyer on the edge of madness who has decided to disassociate himself from his own life.",117
Beauty and the Beast (2017),44,2017,7.1,"17 March 2017 (USA)
","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",1151
Brigsby Bear (2017),45,2017,7.3,"21 September 2017 (Australia)
","After being freed from his life in an underground bunker, a man sets out to make a movie of the only TV show he has ever known.",88
Kong: Skull Island (2017),46,2017,6.6,"10 March 2017 (USA)
","After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",956
Alien: Covenant (2017),47,2017,6.4,"19 May 2017 (USA)
","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",2110
Goodbye Christopher Robin (2017),48,2017,7.1,"29 September 2017 (UK)
","The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh.",105
Victoria & Abdul (2017),49,2017,6.8,"6 October 2017 (USA)
",Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,164
Suburbicon (2017),50,2017,5.7,"27 October 2017 (USA)
","As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.",350
Captain Fantastic (2016),1,2016,7.9,"29 July 2016 (USA)
","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",472
La La Land (2016),2,2016,8,"25 December 2016 (USA)
","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",1836
Hacksaw Ridge (2016),3,2016,8.1,"4 November 2016 (USA)
","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",934
Lion (2016),4,2016,8,"6 January 2017 (USA)
","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",566
