Movie Name,Movie Genre
Atomic Blonde (2017) , Action
Atomic Blonde (2017) , Thriller
Wakefield (2016) , Drama
Beauty and the Beast (2017) , Family
Beauty and the Beast (2017) , Fantasy
Beauty and the Beast (2017) , Musical
Beauty and the Beast (2017) , Romance
Brigsby Bear (2017) , Comedy
Brigsby Bear (2017) , Drama
Kong: Skull Island (2017) , Action
Kong: Skull Island (2017) , Adventure
Kong: Skull Island (2017) , Fantasy
Kong: Skull Island (2017) , Sci-Fi
Alien: Covenant (2017) , Horror
Alien: Covenant (2017) , Sci-Fi
Alien: Covenant (2017) , Thriller
Goodbye Christopher Robin (2017) , Biography
Goodbye Christopher Robin (2017) , Drama
Victoria & Abdul (2017) , Biography
Victoria & Abdul (2017) , Drama
Victoria & Abdul (2017) , History
Suburbicon (2017) , Comedy
Suburbicon (2017) , Thriller
Captain Fantastic (2016) , Comedy
Captain Fantastic (2016) , Drama
La La Land (2016) , Comedy
La La Land (2016) , Drama
La La Land (2016) , Music
La La Land (2016) , Musical
La La Land (2016) , Romance
Hacksaw Ridge (2016) , Biography
Hacksaw Ridge (2016) , Drama
Hacksaw Ridge (2016) , History
Hacksaw Ridge (2016) , War
Lion (2016) , Biography
Lion (2016) , Drama
Hell or High Water (2016) , Action
Hell or High Water (2016) , Crime
Hell or High Water (2016) , Drama
Hell or High Water (2016) , Thriller
Hell or High Water (2016) , Western
The Witch (2015) , Drama
The Witch (2015) , Horror
The Witch (2015) , Mystery
The Jungle Book (2016) , Adventure
The Jungle Book (2016) , Drama
The Jungle Book (2016) , Family
The Jungle Book (2016) , Fantasy
Deadpool (2016) , Action
Deadpool (2016) , Adventure
Deadpool (2016) , Comedy
Deadpool (2016) , Sci-Fi
Moonlight (2016) , Drama
Other People (2016) , Comedy
Other People (2016) , Drama
Zootopia (2016) , Animation
Zootopia (2016) , Adventure
Zootopia (2016) , Comedy
Zootopia (2016) , Crime
Zootopia (2016) , Family
Zootopia (2016) , Mystery
Nocturnal Animals (2016) , Drama
Nocturnal Animals (2016) , Thriller
Train to Busan (2016) , Action
Train to Busan (2016) , Horror
Train to Busan (2016) , Thriller
Don't Breathe (2016) , Crime
Don't Breathe (2016) , Horror
Don't Breathe (2016) , Thriller
Sing Street (2016) , Comedy
Sing Street (2016) , Drama
Sing Street (2016) , Music
Sing Street (2016) , Romance
Doctor Strange (2016) , Action
Doctor Strange (2016) , Adventure
Doctor Strange (2016) , Fantasy
Doctor Strange (2016) , Sci-Fi
The Conjuring 2 (2016) , Horror
The Conjuring 2 (2016) , Mystery
The Conjuring 2 (2016) , Thriller
The Distinguished Citizen (2016) , Comedy
The Distinguished Citizen (2016) , Drama
Your Name. (2016) , Animation
Your Name. (2016) , Drama
Your Name. (2016) , Fantasy
Your Name. (2016) , Romance
Maudie (2016) , Biography
Maudie (2016) , Drama
Maudie (2016) , Romance
Miss Peregrine's Home for Peculiar Children (2016) , Adventure
Miss Peregrine's Home for Peculiar Children (2016) , Drama
Miss Peregrine's Home for Peculiar Children (2016) , Family
Miss Peregrine's Home for Peculiar Children (2016) , Fantasy
Miss Peregrine's Home for Peculiar Children (2016) , Thriller
Eddie the Eagle (2015) , Biography
Eddie the Eagle (2015) , Comedy
Eddie the Eagle (2015) , Drama
Eddie the Eagle (2015) , Family
Eddie the Eagle (2015) , History
Eddie the Eagle (2015) , Sport
Elle (2016) , Crime
Elle (2016) , Drama
Elle (2016) , Thriller
Julieta (2016) , Drama
Julieta (2016) , Mystery
Julieta (2016) , Romance
Manchester by the Sea (2016) , Drama
Dangal (2016) , Action
Dangal (2016) , Biography
Dangal (2016) , Drama
Dangal (2016) , Sport
10 Cloverfield Lane (2016) , Action
10 Cloverfield Lane (2016) , Drama
10 Cloverfield Lane (2016) , Horror
10 Cloverfield Lane (2016) , Mystery
10 Cloverfield Lane (2016) , Sci-Fi
10 Cloverfield Lane (2016) , Thriller
Hidden Figures (2016) , Biography
Hidden Figures (2016) , Drama
Hidden Figures (2016) , History
Florence Foster Jenkins (2016) , Biography
Florence Foster Jenkins (2016) , Comedy
Florence Foster Jenkins (2016) , Drama
Florence Foster Jenkins (2016) , Music
The Invisible Guest (2016) , Crime
The Invisible Guest (2016) , Drama
The Invisible Guest (2016) , Mystery
The Invisible Guest (2016) , Thriller
I'm Gilda (2016) , Biography
I'm Gilda (2016) , Drama
I'm Gilda (2016) , Music
Deepwater Horizon (2016) , Action
Deepwater Horizon (2016) , Drama
Deepwater Horizon (2016) , History
Deepwater Horizon (2016) , Thriller
The Edge of Seventeen (2016) , Comedy
The Edge of Seventeen (2016) , Drama
The Magnificent Seven (2016) , Action
The Magnificent Seven (2016) , Adventure
The Magnificent Seven (2016) , Western
The Shallows (2016) , Drama
The Shallows (2016) , Horror
The Shallows (2016) , Thriller
X-Men: Apocalypse (2016) , Action
X-Men: Apocalypse (2016) , Adventure
X-Men: Apocalypse (2016) , Sci-Fi
Hush (2016) , Horror
Hush (2016) , Thriller
Captain America: Civil War (2016) , Action
Captain America: Civil War (2016) , Adventure
Captain America: Civil War (2016) , Sci-Fi
¿Qué culpa tiene el niño? (2016) , Comedy
¿Qué culpa tiene el niño? (2016) , Romance
War Dogs (2016) , Biography
War Dogs (2016) , Comedy
War Dogs (2016) , Crime
War Dogs (2016) , Drama
War Dogs (2016) , War
A Monster Calls (2016) , Adventure
A Monster Calls (2016) , Drama
A Monster Calls (2016) , Family
A Monster Calls (2016) , Fantasy
"I, Daniel Blake (2016) ", Drama
Lights Out (2016) , Drama
Lights Out (2016) , Horror
Lights Out (2016) , Mystery
Lights Out (2016) , Thriller
The Innocents (2016) , Drama
The Innocents (2016) , History
